headline,date,sentiment,score
"Stocks in news: Premier Energies, Suzlon Energy, Paytm, Hindalco, ONGC",2026-05-26,neutral,0.941825270652771
Bank stocks gain on softer bond yields,2026-05-26,negative,0.5691688060760498
Central Bank's OFS draws 1.28x subscription,2026-05-26,neutral,0.8995963931083679
RBI panel to evaluate impact of quantum tech in finance,2026-05-26,neutral,0.8570713996887207
"Global cues extend to D-Street, indices climb more than 1%",2026-05-26,positive,0.945167064666748
Stock Radar: SAIL stock hits fresh record high in May; time to buy or book profits?,2026-05-26,neutral,0.6972284317016602
NARCL retains guarantees of Jaypee ex-promoters to boost recovery of dues,2026-05-26,positive,0.9114745259284973
SBI-led banks seek bids for Essar Group promoter guarantees,2026-05-26,neutral,0.7170054316520691
India's fertilizer subsidy may cross ₹3 lakh crore if West Asia crisis prolongs,2026-05-26,negative,0.9064090251922607
CD rates on the rise could soon bring more on retail deposits,2026-05-26,negative,0.7665389180183411
"Premier Energies bulk deal: Promoters sell stake worth Rs 2,289 crore; Quant, Nomura among top buyers",2026-05-25,positive,0.6074532866477966
Ahead of Market: 10 things that will decide stock market action on Tuesday,2026-05-25,neutral,0.9356848001480103
Market Trading Guide: Buy Ram Ratna Wires and  Tata Motors PV on Monday for gains up to 12%,2026-05-25,positive,0.80438631772995
"FM Sitharaman says Government open to hear investor concerns on LTCG, STCG taxation",2026-05-25,neutral,0.9072121381759644
"Adani Enterprises among 6 stocks hit 52-week highs, rally up to 25% in a month",2026-05-26,positive,0.9444835186004639
These large-caps have ‘strong buy’ & ‘buy’ recos and an upside potential of up to 27%,2026-05-25,positive,0.9165195226669312
"Two Trades for Today: A capital market stock for a surge of 10.1%, a large-cap natural gas PSU for a gain of about 6.7%",2026-05-25,positive,0.6815704107284546
'Inflation and unholy mess:' Why Nithin Kamath thinks RBI may not stay soft on interest rates,2026-05-25,neutral,0.5195923447608948
"Gainers & Losers: LIC, Max Healthcare among 7 big movers on Monday",2026-05-25,positive,0.6236925721168518
LIC hikes stake in Central Bank of India to 6.06%,2026-05-25,positive,0.5352984070777893
"Sebi proposes dynamic options strike framework to tackle volatility, improve trading continuity",2026-05-25,positive,0.7866148352622986
"ET Alpha Wealth Summit: Masterclass on new era of wealth creation, allocation and preservation",2026-05-25,neutral,0.8634660243988037
Weekly Top Picks: These stocks scored 10 on 10 on Stock Reports Plus,2026-05-25,neutral,0.5835461020469666
​Valuation Watch: 11 Largecap stocks with sky-high PE ratios,2026-05-25,neutral,0.7421760559082031
"FIIs, retail investors raise stakes in 10 midcaps, but stocks slip up to 30%",2026-05-25,negative,0.6991459131240845
Stock picks of the week: 5 stocks with consistent score improvement and upside potential of up to 29%,2026-05-25,positive,0.9534096121788025
"HFCL shares soar 10% to fresh record high, skyrocket 172% in four months. Should you buy or wait?",2026-05-25,neutral,0.7912817597389221
"Titagarh, Jupiter Wagons shares rally up to 10% amid reports of Rs 40,000 crore order from Indian Railways",2026-05-25,positive,0.9365500807762146
"JSW Cement shares fall 2% after jumping 14% in two days. Should you buy, sell or hold?",2026-05-25,negative,0.8228022456169128
"BSE, NSE Holidays 2026: Is the stock market open or closed on May 28?",2026-05-25,neutral,0.8786352872848511
"Melody effect: Wrong 'Parle' stock hits 5% upper circuit for 4th day, up 21% since PM Modi's gift for Meloni",2026-05-25,positive,0.9426623582839966
"Multibagger Apollo Micro Systems shares soar 13%, up 33% in May alone. What are charts saying?",2026-05-25,positive,0.7432864904403687
"Wipro's Rs 15,000 crore share buyback at 23% premium: Should you buy before record date?",2026-05-25,neutral,0.9100431203842163
"Vodafone Idea shares jump 2% to a fresh record high, rally over 100% in 1 year. What’s ahead?",2026-05-25,neutral,0.735616147518158
LIC shares gain 6% in two sessions. Should you buy ahead of the 1:1 bonus issue?,2026-05-25,neutral,0.8962550759315491
Sterlite Technologies shares rise 5% after subsidiary bags $1.1 billion hyperscaler AI contract,2026-05-25,positive,0.8996049165725708
"Global Market Outlook: Inflation, War and AI keep investors on edge",2026-05-25,neutral,0.4911728799343109
"Nifty Pharma, 4 others hit 52-week high since Iran war while Nifty fell 7%. Will the form continue?",2026-05-25,neutral,0.6089611649513245
Top Nifty50 stocks analysts suggest buying in this volatile week,2026-05-25,neutral,0.45136532187461853
MTAR Tech shares drop 3% after rallying 24% in 3 days. Should you buy the dip?,2026-05-25,negative,0.9038461446762085
NTPC Green Energy shares fall 4% after Q4 profit drops 15% YoY,2026-05-25,negative,0.9697785973548889
"Buy, Sell or Hold: Citi maintains buy on Eicher Motors; Goldman Sachs retains buy on Max Healthcare",2026-05-25,neutral,0.9274743795394897
"30 Nifty stocks wipe out Rs 22.64 lakh crore investor wealth in 2026 so far; HDFC Bank, TCS lead rout",2026-05-25,negative,0.9301232099533081
"Why market rallied today? Sensex jumps 1,074 points, Nifty closes above 24,000. 5 factors behind surge",2026-05-25,positive,0.7232760787010193
"Eicher Motors shares rally 5% after Q4 results. What Goldman Sachs, Morgan Stanley, others are saying",2026-05-25,neutral,0.8613926768302917
Hindalco shares decline 2% as Q4 profit falls 51%. Here’s what Nuvama and other brokerages said,2026-05-25,negative,0.6822203397750854
Why foreign investors are exiting Nifty giants to hunt in India's small and midcap market,2026-05-25,neutral,0.8102259039878845
Info Edge shares drops 4% despite 22% YoY jump in Q4 net profit; revenue up 16%,2026-05-25,negative,0.8125458359718323
"Japan's Nikkei jumps past 65,000 mark for first time on Iran talks optimism",2026-05-25,positive,0.595737636089325
"BPCL, HPCL and IOC shares soar up to 6%. Here are two big triggers",2026-05-25,neutral,0.7637467384338379
"Kaynes Technology among 4 stocks flashing bullish signals, hinting at a possible uptrend",2026-05-25,positive,0.8647554516792297
LIC of India among 5 largecap stocks showing bullish RSI upswing,2026-05-25,positive,0.7944493293762207
Nykaa vs Honasa: Which stock should you buy after Q4 earnings? Here’s what experts say,2026-05-25,neutral,0.9325547814369202
"Stocks to buy in 2026 for long term: ITC, NYKAA among 5 stocks that could give 10-20% return",2026-05-25,neutral,0.7948883771896362
NFP Sampoorna Foods shares to list today. Check GMP ahead of debut,2026-05-25,neutral,0.9241955876350403
Positive Breakout: These 9 stocks cross above their 200 DMAs,2026-05-25,positive,0.9247388243675232
Strong cues from GIFT Nifty point to a firm start for Dalal Street,2026-05-25,positive,0.9467380046844482
"Stocks in news: Suzlon Energy, Wipro, Hindalco, ICICI Bank, Eicher Motors",2026-05-25,neutral,0.9417241811752319
"Nifty likely to trade in a range; 23,800 a key breakout hurdle",2026-05-25,neutral,0.5947080850601196
"Retail, traders chase midcap rally with stock futures bets",2026-05-25,negative,0.43002960085868835
Stock Radar: Zydus Lifesciences stock breaks out from inverse head & shoulder pattern to hit fresh 52-week high; time to buy?,2026-05-25,positive,0.8913582563400269
Jane Street may take Singapore route to sort out India tax row,2026-05-25,neutral,0.8887218236923218
Ahead of Market: 10 things that will decide stock market action on Monday,2026-05-24,neutral,0.9364139437675476
"For both the compulsive trader and careful investor: 25 stocks to watch if risk appetite returns; some with upside potential, some not",2026-05-24,neutral,0.8621109127998352
"Two Trades for Today: An AMC major for a gain of 5.9%, a mid-cap auto ancillary stock for a rise of about 6%",2026-05-24,positive,0.765216052532196
​10 Sensex stocks with up to 40% upside potential — Are these in your portfolio?,2026-05-24,neutral,0.9195321798324585
LIC emerges as highest profit-making financial company in Jan-Mar quarter,2026-05-24,positive,0.9508147835731506
"Dividends, bonus issues: TCS, LIC, Bajaj Auto among 30 stocks turning ex-date this week. Check details",2026-05-24,neutral,0.9348126649856567
6 pharma stocks that Bernstein sees up to 40% upside potential. Do you own any?,2026-05-24,neutral,0.8725912570953369
"Mcap of 6 of top-10 most valued firms surges by Rs 74,111 cr; Reliance biggest winner",2026-05-24,positive,0.9302492141723633
12 penny stocks surge up to 125% in just 2 months; 2 turn multibaggers. Did you own any?,2026-05-24,neutral,0.7326082587242126
"Bond yields, FIIs and corporate actions among 8 factors to steer D-Street this week",2026-05-24,neutral,0.8809525370597839
Elevation Capital sells  Rs 964 crore Paytm Shares via block deals,2026-05-24,neutral,0.9453691244125366
Long-term Investing: Ecosystem with an edge called India; 12 large- mid- and small-cap stocks with upside potential of up to 34%,2026-05-23,positive,0.7259114980697632
FIIs sell over Rs 30K crore worth of Indian equities in May as outflows swell to Rs 2.22 lakh crore. What lies ahead?,2026-05-23,neutral,0.7846914529800415
"Nifty stays range-bound as resistance near 23,800 caps upside move",2026-05-23,negative,0.8732954263687134
"Vedanta, MCX, among 10 stocks that saw highest increase in retail shareholding in Q4. Do you own any?",2026-05-23,neutral,0.8858872652053833
Explained! Modus operandi and how Sebi cracked whip in alleged pump-and-dump scheme involving 82 stocks,2026-05-23,neutral,0.8756498098373413
